date,leg presses,leg curls,leg extensions,step ups,lunges,calf raises,squats,hamstring curl,reverse hyperextensions,lateral lunges
2024-05-20,36.0,36.0,24.0,60.0,72.0,60.0,0.0,0.0,0.0,0.0
2024-05-20,36.0,36.0,24.0,60.0,72.0,40.0,0.0,0.0,0.0,0.0
